,city,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,temp_kf,date,lat,lon
0,Mont Saint-Michel,9.17875,8.200625,9.17875,9.17875,1031.75,1031.75,1031.75,90.4375,0.0,1707064200.0,48.6359541,-1.511459954959514
1,Saint-Malo,9.586875,7.9925,9.586875,9.586875,1031.625,1031.625,1029.625,88.6875,0.0,1707064200.0,48.649518,-2.0260409
2,Bayeux,9.7625,7.543125,9.7625,9.7625,1030.5625,1030.5625,1024.5,90.625,0.0,1707064200.0,49.2764624,-0.7024738
3,Le Havre,9.384375,6.9625,9.384375,9.384375,1030.3125,1030.3125,1029.0,91.75,0.0,1707064200.0,49.4938975,0.1079732
4,Rouen,9.64375,7.739375,9.64375,9.64375,1030.125,1030.125,1027.4375,90.625,0.0,1707064200.0,49.4404591,1.0939658
5,Paris,9.61,8.46,9.61,9.61,1030.75,1030.75,1025.9375,85.875,0.0,1707064200.0,48.8534951,2.3483915
6,Amiens,10.075,8.07375,10.075,10.075,1029.0,1029.0,1025.0,87.375,0.0,1707064200.0,49.8941708,2.2956951
7,Lille,10.21875,8.4225,10.21875,10.21875,1027.0,1027.0,1023.375,86.5,0.0,1707064200.0,50.6365654,3.0635282
8,Strasbourg,8.983125,7.329375,8.983125,8.983125,1030.25,1030.25,1011.8125,81.9375,0.0,1707064200.0,48.584614,7.7507127
9,Château du Haut-Kœnigsbourg,6.384375,5.030625,6.384375,6.384375,1030.6875,1030.6875,951.125,83.3125,0.0,1707064200.0,48.2495226,7.3454923
10,Colmar,8.9775,7.98625,8.9775,8.9775,1030.8125,1030.8125,1006.8125,83.1875,0.0,1707064200.0,48.0777517,7.3579641
11,Eguisheim,9.166875,8.38,9.166875,9.166875,1030.75,1030.75,1006.125,82.6875,0.0,1707064200.0,48.0447968,7.3079618
12,Besançon,7.49625,7.0875,7.49625,7.49625,1032.1875,1032.1875,1001.3125,87.0625,0.0,1707064200.0,47.2380222,6.0243622
13,Dijon,8.071875,7.6575,8.071875,8.071875,1032.0,1032.0,1001.6875,84.875,0.0,1707064200.0,47.3215806,5.0414701
14,Annecy,8.3725,8.123125,8.3725,8.3725,1031.25,1031.25,977.375,76.375,0.0,1707064200.0,45.8992348,6.1288847
15,Grenoble,9.393125,8.790625,9.393125,9.393125,1030.875,1030.875,1004.25,80.4375,0.0,1707064200.0,45.1875602,5.7357819
16,Lyon,8.98625,8.569375,8.98625,8.98625,1031.9375,1031.9375,1010.0,77.5625,0.0,1707064200.0,45.7578137,4.8320114
17,Gorges du Verdon,8.46125,7.831875,8.46125,8.46125,1026.3125,1026.3125,928.1875,59.4375,0.0,1707064200.0,43.7496562,6.3285616
18,Bormes-les-Mimosas,10.923124999999999,10.129999999999999,10.923124999999999,10.923124999999999,1027.125,1027.125,1013.0,74.3125,0.0,1707064200.0,43.1506968,6.3419285
19,Cassis,12.058125,10.975625,12.058125,12.058125,1027.1875,1027.1875,1023.875,66.875,0.0,1707064200.0,43.2140359,5.5396318
20,Marseille,12.235,11.114374999999999,12.235,12.235,1027.3125,1027.3125,1026.875,65.6875,0.0,1707064200.0,43.2961743,5.3699525
21,Aix-en-Provence,10.33625,9.74375,10.33625,10.33625,1027.3125,1027.3125,1002.6875,65.1875,0.0,1707064200.0,43.5298424,5.4474738
22,Avignon,11.776875,10.135,11.776875,11.776875,1028.0,1028.0,1024.8125,62.4375,0.0,1707064200.0,43.9492493,4.8059012
23,Uzès,10.21375,8.658125,10.21375,10.21375,1028.375,1028.375,1011.8125,66.0,0.0,1707064200.0,44.0121279,4.4196718
24,Nîmes,11.456875,10.1625,11.456875,11.456875,1028.3125,1028.3125,1021.5,59.6875,0.0,1707064200.0,43.8374249,4.3600687
25,Aigues-Mortes,12.01625,10.928125,12.01625,12.01625,1028.3125,1028.3125,1027.8125,61.9375,0.0,1707064200.0,43.5661521,4.19154
26,Saintes-Maries-de-la-Mer,11.861875,10.686875,11.861875,11.861875,1028.375,1028.375,1028.0625,64.6875,0.0,1707064200.0,43.4515922,4.4277202
27,Collioure,14.320625,13.21,14.320625,14.320625,1029.0,1029.0,1027.25,53.6875,0.0,1707064200.0,42.52505,3.0831554
28,Carcassonne,10.682500000000001,9.16875,10.682500000000001,10.682500000000001,1030.625,1030.625,1016.4375,72.75,0.0,1707064200.0,43.2130358,2.3491069
29,Ariège,11.008125,10.2075,11.008125,11.008125,1031.4375,1031.4375,986.75,62.0625,0.0,1707064200.0,42.9927428,1.6124975
30,Toulouse,9.76125,9.336875,9.76125,9.76125,1031.625,1031.625,1012.6875,72.9375,0.0,1707064200.0,43.6044622,1.4442469
31,Montauban,9.439375,9.119375,9.439375,9.439375,1031.5625,1031.5625,1018.1875,75.6875,0.0,1707064200.0,44.0175835,1.3549991
32,Biarritz,10.6175,9.911249999999999,10.6175,10.6175,1031.625,1031.625,1028.75,80.0,0.0,1707064200.0,43.4832523,-1.5592776
33,Bayonne,10.388125,9.8325,10.388125,10.388125,1031.625,1031.625,1031.1875,81.0,0.0,1707064200.0,43.4945144,-1.4736657
34,La Rochelle,10.035,9.0425,10.035,10.035,1032.5,1032.5,1031.6875,83.4375,0.0,1707064200.0,46.1591126,-1.1520434
